group,Positive Response
Control,0
Control,0
Control,1
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,1
Control,1
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,0
Control,1
Control,1
Control,0
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,1
Control,0
Control,0
Control,0
Control,1
Control,1
Control,0
Control,1
Control,1
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,1
Control,0
Control,1
Control,1
Control,1
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,0
Control,1
Control,0
Control,0
Control,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,1
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,1
Experimental,0
Experimental,1
Experimental,1
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,1
Experimental,0
Experimental,1
Experimental,1
Experimental,1
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,0
Experimental,1
Experimental,0
Experimental,0
Experimental,0